"Message","detailed_error_message","Id","Version","Qualifiers","Level","Task","Opcode","Keywords","RecordId","ProviderName","ProviderId","LogName","ProcessId","ThreadId","MachineName","UserId","TimeCreated","ActivityId","RelatedActivityId","ContainerLog","MatchedQueryIds","Bookmark","LevelDisplayName","OpcodeDisplayName","TaskDisplayName","KeywordsDisplayNames","Properties"
"The user '' preference item in the 'GBL-User-Corp-Templates {8BC249B9-BD04-412D-9D3B-3B16ED6AC82E}' Group Policy Object did not apply because it failed with error code '0x80070003 The system cannot find the path specified.' This error was suppressed.","System.Object[]","4098",,"34305","3","2",,"36028797018963968","290364","Group Policy Files",,"Application",,,"WICWAPIV001.us.aero.bombardier.net","S-1-5-18","3/7/2020 4:21:10 PM",,,"C:\Users\Admin\Documents\zoom\2115213 - 2020-03-12 - Intermittent System Errors 5.9\2020-03-16logs.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Warning",,,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The user '' preference item in the 'GBL-User-Corp-Templates {8BC249B9-BD04-412D-9D3B-3B16ED6AC82E}' Group Policy Object did not apply because it failed with error code '0x80070003 The system cannot find the path specified.' This error was suppressed.","System.Object[]","4098",,"34305","3","2",,"36028797018963968","290363","Group Policy Files",,"Application",,,"WICWAPIV001.us.aero.bombardier.net","S-1-5-18","3/7/2020 4:21:10 PM",,,"C:\Users\Admin\Documents\zoom\2115213 - 2020-03-12 - Intermittent System Errors 5.9\2020-03-16logs.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Warning",,,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The user '' preference item in the 'GBL-User-Corp-Templates {8BC249B9-BD04-412D-9D3B-3B16ED6AC82E}' Group Policy Object did not apply because it failed with error code '0x80070003 The system cannot find the path specified.' This error was suppressed.","System.Object[]","4098",,"34305","3","2",,"36028797018963968","290362","Group Policy Files",,"Application",,,"WICWAPIV001.us.aero.bombardier.net","S-1-5-18","3/7/2020 3:20:37 PM",,,"C:\Users\Admin\Documents\zoom\2115213 - 2020-03-12 - Intermittent System Errors 5.9\2020-03-16logs.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Warning",,,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The user '' preference item in the 'GBL-User-Corp-Templates {8BC249B9-BD04-412D-9D3B-3B16ED6AC82E}' Group Policy Object did not apply because it failed with error code '0x80070003 The system cannot find the path specified.' This error was suppressed.","System.Object[]","4098",,"34305","3","2",,"36028797018963968","290361","Group Policy Files",,"Application",,,"WICWAPIV001.us.aero.bombardier.net","S-1-5-18","3/7/2020 3:20:37 PM",,,"C:\Users\Admin\Documents\zoom\2115213 - 2020-03-12 - Intermittent System Errors 5.9\2020-03-16logs.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Warning",,,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The user '' preference item in the 'GBL-User-Corp-Templates {8BC249B9-BD04-412D-9D3B-3B16ED6AC82E}' Group Policy Object did not apply because it failed with error code '0x80070003 The system cannot find the path specified.' This error was suppressed.","System.Object[]","4098",,"34305","3","2",,"36028797018963968","290360","Group Policy Files",,"Application",,,"WICWAPIV001.us.aero.bombardier.net","S-1-5-18","3/7/2020 3:20:37 PM",,,"C:\Users\Admin\Documents\zoom\2115213 - 2020-03-12 - Intermittent System Errors 5.9\2020-03-16logs.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Warning",,,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The user '' preference item in the 'GBL-User-Corp-Templates {8BC249B9-BD04-412D-9D3B-3B16ED6AC82E}' Group Policy Object did not apply because it failed with error code '0x80070003 The system cannot find the path specified.' This error was suppressed.","System.Object[]","4098",,"34305","3","2",,"36028797018963968","290359","Group Policy Files",,"Application",,,"WICWAPIV001.us.aero.bombardier.net","S-1-5-18","3/7/2020 3:20:37 PM",,,"C:\Users\Admin\Documents\zoom\2115213 - 2020-03-12 - Intermittent System Errors 5.9\2020-03-16logs.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Warning",,,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The user '' preference item in the 'GBL-User-Corp-Templates {8BC249B9-BD04-412D-9D3B-3B16ED6AC82E}' Group Policy Object did not apply because it failed with error code '0x80070003 The system cannot find the path specified.' This error was suppressed.","System.Object[]","4098",,"34305","3","2",,"36028797018963968","290358","Group Policy Files",,"Application",,,"WICWAPIV001.us.aero.bombardier.net","S-1-5-18","3/7/2020 3:20:37 PM",,,"C:\Users\Admin\Documents\zoom\2115213 - 2020-03-12 - Intermittent System Errors 5.9\2020-03-16logs.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Warning",,,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The user '' preference item in the 'GBL-User-Corp-Templates {8BC249B9-BD04-412D-9D3B-3B16ED6AC82E}' Group Policy Object did not apply because it failed with error code '0x80070003 The system cannot find the path specified.' This error was suppressed.","System.Object[]","4098",,"34305","3","2",,"36028797018963968","290357","Group Policy Files",,"Application",,,"WICWAPIV001.us.aero.bombardier.net","S-1-5-18","3/7/2020 3:20:37 PM",,,"C:\Users\Admin\Documents\zoom\2115213 - 2020-03-12 - Intermittent System Errors 5.9\2020-03-16logs.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Warning",,,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The user '' preference item in the 'GBL-User-Corp-Templates {8BC249B9-BD04-412D-9D3B-3B16ED6AC82E}' Group Policy Object did not apply because it failed with error code '0x80070003 The system cannot find the path specified.' This error was suppressed.","System.Object[]","4098",,"34305","3","2",,"36028797018963968","290356","Group Policy Files",,"Application",,,"WICWAPIV001.us.aero.bombardier.net","S-1-5-18","3/7/2020 2:35:01 PM",,,"C:\Users\Admin\Documents\zoom\2115213 - 2020-03-12 - Intermittent System Errors 5.9\2020-03-16logs.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Warning",,,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The user '' preference item in the 'GBL-User-Corp-Templates {8BC249B9-BD04-412D-9D3B-3B16ED6AC82E}' Group Policy Object did not apply because it failed with error code '0x80070003 The system cannot find the path specified.' This error was suppressed.","System.Object[]","4098",,"34305","3","2",,"36028797018963968","290355","Group Policy Files",,"Application",,,"WICWAPIV001.us.aero.bombardier.net","S-1-5-18","3/7/2020 2:35:01 PM",,,"C:\Users\Admin\Documents\zoom\2115213 - 2020-03-12 - Intermittent System Errors 5.9\2020-03-16logs.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Warning",,,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"The user '' preference item in the 'GBL-User-Corp-Templates {8BC249B9-BD04-412D-9D3B-3B16ED6AC82E}' Group Policy Object did not apply because it failed with error code '0x80070003 The system cannot find the path specified.' This error was suppressed.","System.Object[]","4098",,"34305","3","2",,"36028797018963968","290354","Group Policy Files",,"Application",,,"WICWAPIV001.us.aero.bombardier.net","S-1-5-18","3/7/2020 2:35:01 PM",,,"C:\Users\Admin\Documents\zoom\2115213 - 2020-03-12 - Intermittent System Errors 5.9\2020-03-16logs.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Warning",,,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
